tconst,ordering,nconst,category,job,characters
tt0758053,3,nm0006795,actor,\N,"[""Imaan""]"
tt0772737,7,nm0451321,self,\N,"[""Self""]"
tt0806088,8,nm0451321,actor,\N,"[""Raj Malhotra""]"
tt0807758,1,nm0006795,actor,\N,"[""Prem 'Love Guru'""]"
tt0857381,10,nm0451321,actor,\N,"[""Street Guitarist""]"
tt0871510,1,nm0451321,actor,\N,"[""Kabir Khan""]"
tt0991346,7,nm0451321,actor,\N,"[""Aditya Sharma""]"
tt0994282,1,nm0451321,self,\N,"[""Self""]"
tt10002296,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002320,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002324,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002328,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002334,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002348,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002366,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002374,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002382,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002384,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002388,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002398,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002412,7,nm0006795,self,\N,"[""Self - Host""]"
tt10002422,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002434,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002446,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002458,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002462,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002470,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002472,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002476,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002478,5,nm0006795,self,\N,"[""Self - Host""]"
tt10002480,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002490,4,nm0006795,self,\N,"[""Self - Host""]"
tt10002500,4,nm0006795,self,\N,"[""Self - Host""]"
tt10011726,1,nm0451321,actor,\N,"[""Shekharan""]"
tt10011730,1,nm0451321,actor,\N,"[""Shekharan""]"
tt10011734,1,nm0451321,actor,\N,"[""Shekharan""]"
tt10011736,1,nm0451321,actor,\N,"[""Shekharan""]"
tt10011738,1,nm0451321,actor,\N,"[""Shekharan""]"
tt10011740,1,nm0451321,actor,\N,"[""Shekharan""]"
tt10011742,1,nm0451321,actor,\N,"[""Shekharan""]"
tt10011744,1,nm0451321,actor,\N,"[""Shekharan""]"
tt10011748,1,nm0451321,actor,\N,"[""Shekharan""]"
tt10011750,1,nm0451321,actor,\N,"[""Shekharan""]"
tt10011754,1,nm0451321,actor,\N,"[""Shekharan""]"
tt10011756,1,nm0451321,actor,\N,"[""Shekharan""]"
tt10011758,1,nm0451321,actor,\N,"[""Shekharan""]"
tt10011760,1,nm0451321,actor,\N,"[""Shekharan""]"
tt10011762,1,nm0451321,actor,\N,"[""Shekharan""]"
tt10011764,1,nm0451321,actor,\N,"[""Shekharan""]"
tt10011766,1,nm0451321,actor,\N,"[""Shekharan""]"
tt10042310,7,nm0006795,self,\N,"[""Self - Host""]"
tt10042312,7,nm0006795,self,\N,"[""Self - Host""]"
tt10042314,7,nm0006795,self,\N,"[""Self - Host""]"
tt10042324,4,nm0006795,self,\N,"[""Self - Host""]"
tt10042326,4,nm0006795,self,\N,"[""Self - Host""]"
tt10042328,4,nm0006795,self,\N,"[""Self - Host""]"
tt10042330,4,nm0006795,self,\N,"[""Self - Host""]"
tt10042332,4,nm0006795,self,\N,"[""Self - Host""]"
tt10052020,9,nm0451321,self,\N,"[""Self""]"
tt10088146,10,nm0006795,self,\N,"[""Self""]"
tt10088150,10,nm0006795,actor,\N,"[""Salman Khan""]"
tt10105538,21,nm0006795,producer,producer,\N
tt10105546,22,nm0006795,producer,producer,\N
tt10105824,1,nm0451321,self,\N,"[""Self""]"
tt10106678,2,nm0451321,self,\N,"[""Self""]"
tt10106684,2,nm0451321,self,\N,"[""Self""]"
tt10106688,2,nm0451321,self,\N,"[""Self""]"
tt10141036,21,nm0006795,producer,producer,\N
tt10141038,21,nm0006795,producer,producer,\N
tt10141042,21,nm0006795,producer,producer,\N
tt10141048,20,nm0006795,producer,producer,\N
tt10175022,15,nm0451321,producer,producer,\N
tt10210410,20,nm0006795,producer,producer,\N
tt10210412,20,nm0006795,producer,producer,\N
tt10230422,15,nm0451321,producer,producer,\N
tt10235910,1,nm10645092,actor,\N,\N
tt10243326,15,nm0451321,producer,producer,\N
tt10249238,21,nm0006795,producer,producer,\N
tt10249288,20,nm0006795,producer,producer,\N
tt1024943,1,nm0451321,actor,\N,"[""Om Prakash Makhija""]"
tt1024943,2,nm0451321,actor,\N,"[""Om Kapoor""]"
tt1024943,18,nm0451321,producer,producer,\N
tt10249444,21,nm0006795,producer,producer,\N
tt10249460,20,nm0006795,producer,producer,\N
tt10249472,20,nm0006795,producer,producer,\N
tt10249482,19,nm0006795,producer,producer,\N
tt10271894,1,nm0451321,actor,\N,\N
tt10289938,5,nm0451321,actor,\N,"[""Narrator""]"
tt10349254,20,nm0006795,producer,producer,\N
tt10349258,21,nm0006795,producer,producer,\N
tt1037020,2,nm0451321,self,\N,"[""Self""]"
tt10390134,18,nm0006795,producer,producer,\N
tt10390874,20,nm0006795,producer,producer,\N
tt10432440,2,nm10645092,actor,\N,"[""Celebrity""]"
tt10443756,8,nm0006795,self,\N,"[""Self""]"
tt10443756,20,nm0006795,producer,producer,\N
tt10443768,10,nm0006795,self,\N,"[""Self""]"
tt10443768,22,nm0006795,producer,producer,\N
tt10467852,19,nm0006795,producer,producer,\N
tt10467890,19,nm0006795,producer,producer,\N
tt10474880,3,nm0006795,actor,\N,"[""Salman Khan""]"
tt10501328,20,nm0006795,producer,producer,\N
tt10501522,17,nm0006795,producer,producer,\N
tt10526288,16,nm0451321,producer,producer,\N
tt10526298,16,nm0451321,producer,producer,\N
tt10579658,21,nm0006795,producer,producer,\N
tt10579690,22,nm0006795,producer,producer,\N
tt10579786,24,nm0006795,producer,producer,\N
tt10623538,19,nm0006795,producer,producer,\N
tt10623546,19,nm0006795,producer,producer,\N
tt10624264,22,nm0006795,producer,producer,\N
tt10624296,21,nm0006795,producer,producer,\N
tt10645178,1,nm0451321,self,\N,"[""Self""]"
tt10681526,17,nm0006795,producer,producer,\N
tt10681592,18,nm0006795,producer,producer,\N
tt10708966,24,nm0006795,producer,producer,\N
tt10710096,23,nm0006795,producer,producer,\N
tt10748648,17,nm0006795,producer,producer,\N
tt1075218,2,nm0451321,self,\N,"[""Self - Guest""]"
tt10752246,20,nm0006795,producer,producer,\N
tt10769276,3,nm0451321,actor,\N,"[""Keval""]"
tt10801330,19,nm0006795,producer,producer,\N
tt10802792,18,nm0006795,producer,producer,\N
tt10821230,19,nm0006795,producer,producer,\N
tt10826998,18,nm0006795,producer,producer,\N
tt1084972,1,nm0006795,actor,\N,"[""Radhe""]"
tt1087856,11,nm0006795,actor,\N,"[""Khan""]"
tt10883044,18,nm0006795,producer,producer,\N
tt10883088,21,nm0006795,producer,producer,\N
tt10888594,1,nm0006795,actor,\N,"[""Radhe""]"
tt10895868,2,nm0006795,self,\N,"[""Self - Host""]"
tt10895870,9,nm0006795,self,\N,"[""Self - Host""]"
tt10895890,6,nm0006795,self,\N,"[""Self - Host""]"
tt10895894,6,nm0006795,self,\N,"[""Self - Host""]"
tt10896092,10,nm0006795,self,\N,"[""Self - Host""]"
tt10896106,3,nm0006795,self,\N,"[""Self - Host""]"
tt10905152,2,nm0006795,self,\N,"[""Self - Host""]"
tt10905162,5,nm0006795,self,\N,"[""Self - Host""]"
tt10905166,5,nm0006795,self,\N,"[""Self - Host""]"
tt10905248,3,nm0006795,self,\N,"[""Self - Host""]"
tt10905256,6,nm0006795,self,\N,"[""Self - Host""]"
tt10905334,3,nm0006795,self,\N,"[""Self - Host""]"
tt10905472,1,nm0006795,self,\N,"[""Self - Host""]"
tt10910120,21,nm0006795,producer,producer,\N
tt10912930,21,nm0006795,producer,producer,\N
tt10920814,4,nm0006795,self,\N,"[""Self - Host""]"
tt10920880,3,nm0006795,self,\N,"[""Self - Host""]"
tt10920882,8,nm0006795,self,\N,"[""Self - Host""]"
tt10920934,4,nm0006795,self,\N,"[""Self - Host""]"
tt10920954,2,nm0006795,self,\N,"[""Self - Host""]"
tt10920958,3,nm0006795,self,\N,"[""Self - Host""]"
tt10924146,5,nm0006795,self,\N,"[""Self - Host""]"
tt10924196,4,nm0006795,self,\N,"[""Self - Host""]"
