nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,tconst,ordering,category,job,characters,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0415003,1,actor,\N,"[""ACP Arjun Ranavat""]",movie,Garv: Pride and Honour,Garv: Pride and Honour,0,2004,\N,162,"Action,Crime,Drama",5.6,5242
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0418362,1,actor,\N,"[""Sameer Malhotra""]",movie,Mujhse Shaadi Karogi,Mujhse Shaadi Karogi,0,2004,\N,163,"Comedy,Romance",6.7,17926
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0419468,2,actor,\N,"[""Avinash 'Avi' B. Kapoor""]",movie,Baabul,Baabul,0,2006,\N,169,"Drama,Family,Romance",5.4,3736
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0422950,1,actor,\N,"[""Rohit Manchanda""]",movie,Phir Milenge,Phir Milenge,0,2004,\N,142,Drama,6.1,2484
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0430589,1,actor,\N,"[""Ayaan""]",movie,Shaadi Karke Phas Gaya Yaar,Shaadi Karke Phas Gaya Yaar,0,2006,\N,152,"Comedy,Drama,Romance",4.0,1540
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0449306,1,actor,\N,"[""Aditya \""Adi\"" Sekhri""]",movie,Lucky: No Time for Love,Lucky: No Time for Love,0,2005,\N,180,"Drama,Musical,Romance",4.7,3989
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0451787,1,actor,\N,"[""Anand""]",movie,Kyon Ki...,Kyon Ki...,0,2005,\N,160,"Drama,Romance",5.5,5025
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0451803,1,actor,\N,"[""Dr. Samir Malhotra""]",movie,Maine Pyaar Kyun Kiya,Maine Pyaar Kyun Kiya,0,2005,\N,145,"Comedy,Drama,Romance",5.6,6177
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0451833,2,actor,\N,"[""Prem Khanna""]",movie,No Entry,No Entry,0,2005,\N,158,"Comedy,Drama,Musical",6.6,13505
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0456481,1,actor,\N,"[""Suhaan Kapoor""]",movie,Jaan-E-Mann: Let's Fall in Love... Again,Jaan-E-Mann: Let's Fall in Love... Again,0,2006,\N,165,"Comedy,Drama,Musical",6.1,9517
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0470521,1,actor,\N,"[""Bhagwan's Messenger""]",movie,Saawan... The Love Season,Saawan... The Love Season,0,2006,\N,123,"Drama,Fantasy,Romance",2.7,1492
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0476550,2,actor,\N,"[""Arun Prajapati (A. P.)""]",movie,God Tussi Great Ho,God Tussi Great Ho,0,2008,\N,152,"Comedy,Fantasy",3.7,5222
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0485272,1,actor,\N,"[""Raúl""]",movie,Salaam-E-Ishq,Salaam-E-Ishq,0,2007,\N,216,"Comedy,Drama,Musical",5.2,5960
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0485272,2,actor,\N,"[""Rahul""]",movie,Salaam-E-Ishq,Salaam-E-Ishq,0,2007,\N,216,"Comedy,Drama,Musical",5.2,5960
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0486615,1,actor,\N,"[""Manjeet 'Mannu' Khosla""]",movie,London Dreams,London Dreams,0,2009,\N,146,"Crime,Drama,Music",5.4,5091
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0758053,3,actor,\N,"[""Imaan""]",movie,Saawariya,Saawariya,0,2007,\N,142,"Drama,Musical,Romance",5.2,8634
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt0807758,1,actor,\N,"[""Prem 'Love Guru'""]",movie,Partner,Partner,0,2007,\N,155,"Comedy,Drama,Romance",5.8,14336
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt1084972,1,actor,\N,"[""Radhe""]",movie,Wanted,Wanted,0,2009,\N,147,"Action,Thriller",6.6,27139
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt1087856,11,actor,\N,"[""Khan""]",movie,Hello,Hello,0,2008,\N,129,"Drama,Romance",3.3,2347
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt10888594,1,actor,\N,"[""Radhe""]",movie,Radhe,Radhe,0,2021,\N,109,"Action,Thriller",1.8,180656
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt1105747,1,actor,\N,"[""Deven Y. Yuvvraaj Singh""]",movie,Yuvvraaj,Yuvvraaj,0,2008,\N,151,"Comedy,Drama,Musical",4.1,4828
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt1114725,7,actor,\N,"[""Hav. Balkar Singh""]",movie,Heroes,Heroes,0,2008,\N,139,"Action,Adventure,Comedy",5.7,2422
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt1114725,8,actor,\N,"[""Lt. Jaswinder 'Jassi' Singh""]",movie,Heroes,Heroes,0,2008,\N,139,"Action,Adventure,Comedy",5.7,2422
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt1174041,1,actor,\N,"[""Samir Khanna""]",movie,Me and Mrs. Khanna,Main Aurr Mrs Khanna,0,2009,\N,109,"Comedy,Drama,Romance",3.4,3472
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt1185412,1,actor,\N,"[""Veer Pratap Singh""]",movie,Veer,Veer,0,2010,\N,169,"Action,Adventure,Drama",4.6,9072
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt1185412,2,actor,\N,"[""Mahendra Pratap Singh""]",movie,Veer,Veer,0,2010,\N,169,"Action,Adventure,Drama",4.6,9072
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt1188982,1,actor,\N,"[""Jai Agnihotri""]",movie,Jai Ho,Jai Ho,0,2014,\N,135,"Action,Drama",5.0,21451
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt13130308,4,actor,\N,"[""Masoom Bhai""]",movie,Godfather,Godfather,0,2022,\N,157,"Action,Crime,Drama",5.1,7914
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt13491110,1,actor,\N,"[""Rajveer Singh""]",movie,Antim: The Final Truth,Antim: The Final Truth,0,2021,\N,138,"Action,Crime,Drama",6.1,42590
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt1620719,1,actor,\N,"[""Inspector Chulbul Pandey""]",movie,Dabangg,Dabangg,0,2010,\N,126,"Action,Comedy,Crime",6.3,35530
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt1708532,1,actor,\N,"[""Prem R. Kapoor""]",movie,Ready,Ready,0,2011,\N,145,"Action,Comedy,Romance",4.9,20642
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt1729637,1,actor,\N,"[""Lovely B. Singh""]",movie,Bodyguard,Bodyguard,0,2011,\N,130,"Action,Drama,Romance",4.8,28991
nm0006795,Salman Khan,1965,\N,"producer,actor,music_department","tt4832640,tt3863552,tt2016894,tt2372222",tt18411490,1,actor,\N,"[""Tiger (Avinash Rathod)""]",movie,Tiger 3,Tiger 3,0,2023,\N,155,"Action,Adventure,Thriller",5.7,55164
